Nom,Prénom,Email,Numéro_Téléphone,Adresse,Date_de_naissance,Sexe,État_civil,Nationalité,Langues,Diplôme,Année_diplôme,Établissement,Expérience_professionnelle,Certifications,Compétences
YHEWV,POKVB,00DE711D@example.com,6139827000.0,16ACA4B8-8 Street,1982-01-21,Femme,Célibataire,Anglaise,"Français, Espagnol",Licence,2012,Université Paris,Gestion des retours produits selon les normes de qualité et satisfaction client.,Certification en gestion de projet Agile.,Gestion
VHFNP,QOCKJ,72BC332F@example.com,684644800.0,C7AB69B1-3 Street,1984-01-21,Femme,Marié(e),Anglaise,"Anglais, Allemand",Licence,2005,Université Paris,Gestion des campagnes de publicité mobile programmatique pour maximiser la visibilité des produits auprès des utilisateurs mobiles.,Certification en marketing digital et stratégies de contenu.,Marketing
UNKFF,KRMJD,8E93BA2E@example.com,6345156000.0,0E7C5CF8-9 Street,1970-01-21,Autre,Célibataire,Anglaise,"Anglais, Allemand",Master,2007,École Supérieure de Commerce,Mise en place de mécanismes de synchronisation entre threads pour la gestion des ressources partagées.,Certification en développement web et programmation Python.,Développement
JSKKN,OGNHP,0A75C3CF@example.com,6815190000.0,A367DBEC-9 Street,1983-01-21,Femme,Marié(e),Espagnole,"Français, Anglais",Licence,2006,Université Paris,Évaluation de la performance des équipes grâce aux outils d’analyse décisionnelle.,Certification en gestion de projet Agile.,Gestion
DMUZQ,EBBET,CED4A61A@example.com,6120860000.0,A151FEF6-4 Street,1970-01-21,Femme,Divorcé(e),Espagnole,"Anglais, Allemand",BTS,2000,Université Lyon,J'ai géré la base de données clients avec le CRM pour une segmentation fine et un ciblage optimal.,Certification en marketing digital et stratégies de contenu.,Marketing
ZPPJL,FLNLA,D6EC48EF@example.com,6184806000.0,EBC8FEEA-5 Street,1989-01-21,Autre,Marié(e),Française,"Anglais, Allemand",Licence,2016,Université Paris,"En tant que Product Owner, évaluation des feedbacks clients pour améliorer en continu les produits proposés.",Certification en gestion de projet Agile.,Gestion
PRGAT,JWPEW,E62AC0E4@example.com,6256876000.0,E473E89E-5 Street,1996-01-21,Homme,Célibataire,Française,"Anglais, Allemand",Licence,2009,Université Paris,Développement de plateformes de mise en relation entre utilisateurs avec PHP.,Certification en développement web et programmation Python.,Développement
FGNHG,IFYLX,1A1A1C77@example.com,6488427000.0,044EB664-1 Street,1966-01-21,Femme,Marié(e),Espagnole,"Français, Anglais",Master,2014,Université Lyon,J'ai automatisé les e-mails de bienvenue pour de nouveaux abonnés.,Certification en marketing digital et stratégies de contenu.,Marketing
QTTWL,XJKZC,2A9647C3@example.com,6230714000.0,EB27E661-2 Street,1996-01-21,Autre,Divorcé(e),Française,"Français, Espagnol",BTS,2015,École Supérieure de Commerce,Développement de solutions personnalisées pour des clients avec PHP et des API.,Certification en développement web et programmation Python.,Développement
PYHQU,ZXLTT,766D6C37@example.com,6720480000.0,A94307A8-9 Street,1993-01-21,Femme,Marié(e),Française,"Anglais, Allemand",BTS,2005,Université Lyon,Mise en place d'un projet backend robuste en utilisant Spring Boot et MySQL.,Certification en développement web et programmation Python.,Développement
TVLAU,RZQOE,82C72C54@example.com,6306072000.0,6966FA08-9 Street,1982-01-21,Autre,Divorcé(e),Espagnole,"Français, Espagnol",BTS,2012,Université Lyon,Collaboration avec les équipes de vente pour aligner les actions de Data-driven marketing et les objectifs commerciaux.,Certification en marketing digital et stratégies de contenu.,Marketing
ATJAP,MVWNJ,3314976B@example.com,6833546000.0,76ABFC3C-5 Street,1968-01-21,Femme,Célibataire,Anglaise,"Français, Espagnol",Master,2020,Université Paris,J'ai fourni des recommandations basées sur l'analyse financière pour améliorer la rentabilité.,Certification en gestion de projet Agile.,Gestion
NFIPR,WLUCB,2AFBC199@example.com,6405718000.0,F3247564-1 Street,1969-01-21,Homme,Célibataire,Anglaise,"Français, Anglais",Master,2011,Université Lyon,J'ai utilisé la propriété CSS `clip-path` pour créer des formes personnalisées.,Certification en développement web et programmation Python.,Développement
IFTAB,KVHLU,EDFD0399@example.com,6621601000.0,5255A548-B Street,2001-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",Licence,2020,École Supérieure de Commerce,Utilisation de PyCharm pour la création et gestion de packages Python.,Certification en développement web et programmation Python.,Développement
FDAUJ,JTZAV,A1C195D2@example.com,6162485000.0,A3DEDF14-8 Street,1983-01-21,Homme,Célibataire,Espagnole,"Français, Espagnol",Licence,2012,Université Paris,J'ai réalisé une analyse financière détaillée pour soutenir la prise de décision des dirigeants.,Certification en gestion de projet Agile.,Gestion
DEHVU,MXWSC,D535B4F4@example.com,6501714000.0,C043DE2E-9 Street,1990-01-21,Femme,Célibataire,Française,"Français, Anglais",Licence,2009,Université Lyon,J'ai effectué des analyses financières pour préparer des propositions d'investissement.,Certification en gestion de projet Agile.,Gestion
UKTHM,YGWFC,D10DB22F@example.com,6702257000.0,E3720182-7 Street,1991-01-21,Femme,Marié(e),Française,"Français, Anglais",BTS,2017,Université Paris,Suivi du ROI des campagnes SEO avec des outils d'analyse afin de s'assurer que les efforts d'optimisation génèrent des résultats concrets.,Certification en marketing digital et stratégies de contenu.,Marketing
ZNQXU,SOYUT,EFFA9C7E@example.com,6833612000.0,59612CAC-A Street,1996-01-21,Homme,Marié(e),Française,"Français, Anglais",Licence,2006,Université Lyon,Création d'applications web interactives pour la visualisation de données avec Streamlit.,Certification en développement web et programmation Python.,Développement
PDOAN,LIKRE,6427D71B@example.com,6969114000.0,839CDB72-B Street,1977-01-21,Autre,Célibataire,Anglaise,"Français, Espagnol",Master,2000,Université Lyon,J'ai mis en œuvre des outils d'analyse financière pour effectuer des contrôles budgétaires réguliers.,Certification en gestion de projet Agile.,Gestion
XQSQC,MXVLD,A50E7C9C@example.com,6124235000.0,4422DA4E-3 Street,1982-01-21,Femme,Marié(e),Anglaise,"Anglais, Allemand",BTS,2020,Université Lyon,J'ai appliqué un leadership visionnaire pour diriger le changement dans l'organisation.,Certification en gestion de projet Agile.,Gestion
CPMPQ,CWXYC,8D0455C9@example.com,6738392000.0,C1539689-C Street,2005-01-21,Autre,Marié(e),Française,"Anglais, Allemand",Master,2018,Université Paris,J'ai créé un guide de styles CSS pour garantir la cohérence du design.,Certification en développement web et programmation Python.,Développement
DHGQF,ENOUL,28BEE43D@example.com,6660460000.0,004D7405-D Street,1995-01-21,Autre,Célibataire,Anglaise,"Anglais, Allemand",Master,2020,Université Lyon,Suivi de la rentabilité des produits financiers bancaires.,Certification en gestion de projet Agile.,Gestion
YCGJD,BSPVK,342845FE@example.com,6726023000.0,DCAB38BE-F Street,1996-01-21,Homme,Divorcé(e),Espagnole,"Français, Espagnol",Licence,2004,Université Lyon,J'ai coordonné des campagnes d'Influencer marketing sur plusieurs plateformes sociales.,Certification en marketing digital et stratégies de contenu.,Marketing
QVBID,KXAJL,F5C29C10@example.com,6219234000.0,22D07D9C-1 Street,1991-01-21,Homme,Célibataire,Anglaise,"Anglais, Allemand",Licence,2006,Université Lyon,Utilisation de la gestion de bases de données dans les solutions de big data pour un traitement efficace des données.,Certification en développement web et programmation Python.,Développement
LBFAV,ZKHDK,40814195@example.com,6519585000.0,83D55304-D Street,2000-01-21,Autre,Marié(e),Anglaise,"Français, Espagnol",Licence,2012,Université Paris,J'ai refactorisé le code pour améliorer la séparation des responsabilités et faciliter la collaboration au sein de l'équipe.,Certification en développement web et programmation Python.,Développement
OUIDX,PJBHM,4D3C8827@example.com,6704616000.0,ED9BCE5B-1 Street,1971-01-21,Autre,Divorcé(e),Espagnole,"Anglais, Allemand",BTS,2009,Université Lyon,Amélioration continue des campagnes de Data-driven marketing par l'utilisation d'outils d'A/B testing et d'analyse des données.,Certification en marketing digital et stratégies de contenu.,Marketing
BUREK,DVMBI,FF78A20E@example.com,6991269000.0,72C5FE68-4 Street,1982-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",Master,2017,Université Lyon,Optimisation de la gestion financière grâce à l’analyse décisionnelle.,Certification en gestion de projet Agile.,Gestion
XWFUI,RXPWH,5BD73910@example.com,6173187000.0,7406613E-7 Street,1985-01-21,Femme,Marié(e),Française,"Français, Anglais",Licence,2014,Université Lyon,"En tant que gestionnaire du marketing viral, j'ai lancé des campagnes qui ont généré une forte interaction avec la marque.",Certification en marketing digital et stratégies de contenu.,Marketing
AOVEG,UXBEZ,919A640D@example.com,6962862000.0,07F597C7-C Street,1999-01-21,Femme,Célibataire,Française,"Français, Espagnol",Licence,2018,École Supérieure de Commerce,Utilisation avancée des filtres et dashboards JIRA.,Certification en développement web et programmation Python.,Développement
CDAUN,JGYBO,0D00D6B2@example.com,6840469000.0,D0F37A0F-1 Street,1989-01-21,Homme,Marié(e),Française,"Français, Espagnol",BTS,2020,Université Lyon,Développement d'un système de gestion des tickets de service pour les entreprises.,Certification en développement web et programmation Python.,Développement
TAWRS,WXEYY,3F6CB90C@example.com,6486466000.0,CB290B81-E Street,1974-01-21,Femme,Célibataire,Anglaise,"Français, Anglais",BTS,2001,Université Lyon,Augmentation du taux de conversion des campagnes grâce à des stratégies d'optimisation sur Mailchimp.,Certification en marketing digital et stratégies de contenu.,Marketing
RLCUI,SFRPM,8FFA3915@example.com,6451452000.0,09121B20-C Street,1984-01-21,Femme,Célibataire,Française,"Français, Espagnol",Licence,2002,Université Paris,Ajustement des enchères PPC en fonction des performances quotidiennes et de l'évolution du marché.,Certification en marketing digital et stratégies de contenu.,Marketing
EVCBK,TBUXO,F83AD650@example.com,6484527000.0,C7A8967E-3 Street,1985-01-21,Autre,Marié(e),Espagnole,"Français, Anglais",Master,2005,Université Lyon,"En tant que Technical Lead, j'ai garanti la conformité des solutions aux exigences techniques et aux normes de qualité.",Certification en gestion de projet Agile.,Gestion
TPKGG,XPLPT,30F70290@example.com,6439255000.0,F0AF4675-9 Street,1973-01-21,Autre,Célibataire,Anglaise,"Français, Anglais",BTS,2016,Université Paris,J'ai utilisé Django pour développer une application d'analyse de données.,Certification en développement web et programmation Python.,Développement
QZZTT,KZWRS,ADCE52A5@example.com,6392510000.0,61E8514F-4 Street,1992-01-21,Femme,Célibataire,Espagnole,"Français, Espagnol",Master,2018,École Supérieure de Commerce,Développement de campagnes de publicité personnalisées pour chaque segment.,Certification en marketing digital et stratégies de contenu.,Marketing
MCNIN,HHASG,780A2257@example.com,675293400.0,9B2AB434-C Street,1992-01-21,Femme,Marié(e),Anglaise,"Anglais, Allemand",Licence,2001,Université Paris,J'ai supervisé la conduite du changement pour la mise en place de nouveaux processus de gestion des risques.,Certification en gestion de projet Agile.,Gestion
DGVOD,EJMEP,D0E4483A@example.com,68134690.0,0C1B7E0D-5 Street,1981-01-21,Femme,Divorcé(e),Anglaise,"Français, Anglais",BTS,2014,Université Paris,J'ai dirigé des campagnes de publicité sur des plateformes variées pour maximiser la portée.,Certification en marketing digital et stratégies de contenu.,Marketing
OHGAP,XFJGK,4A734DB6@example.com,6861308000.0,A901F04E-4 Street,1993-01-21,Femme,Célibataire,Anglaise,"Français, Espagnol",Licence,2010,École Supérieure de Commerce,Création de systèmes de gestion d'inventaire en PHP.,Certification en développement web et programmation Python.,Développement
VTYNR,XPCRK,155A99C9@example.com,6869665000.0,0B70D1E6-2 Street,1966-01-21,Autre,Marié(e),Anglaise,"Français, Anglais",Master,2008,Université Paris,Mise en place de systèmes de sauvegarde automatique dans le cloud.,Certification en développement web et programmation Python.,Développement
AIDDZ,UDUJH,551A0ED2@example.com,6200296000.0,35050169-3 Street,1984-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",BTS,2019,École Supérieure de Commerce,Utilisation de Postman pour effectuer des tests de bout en bout des API dans un environnement de production.,Certification en développement web et programmation Python.,Développement
PDRLH,AFWCP,1F2CDB89@example.com,6419236000.0,A90855C2-5 Street,1968-01-21,Homme,Célibataire,Anglaise,"Anglais, Allemand",Licence,2006,Université Lyon,Réalisation d'analyses approfondies des backlinks pour améliorer la stratégie de netlinking grâce à des outils SEO avancés.,Certification en marketing digital et stratégies de contenu.,Marketing
UKWKE,IFICK,B1FF6B8A@example.com,6213958000.0,C5B527E9-8 Street,1973-01-21,Autre,Célibataire,Anglaise,"Anglais, Allemand",Licence,2002,École Supérieure de Commerce,Utilisation de Selenium avec Appium pour tester les applications mobiles.,Certification en développement web et programmation Python.,Développement
SMJYY,ERZPF,0DEF17EC@example.com,6304284000.0,1ED84309-B Street,1983-01-21,Autre,Marié(e),Anglaise,"Français, Espagnol",Licence,2008,Université Paris,J'ai implémenté un système de versionning de code en utilisant Git et Bitbucket.,Certification en développement web et programmation Python.,Développement
WJPRG,NQPZN,7D308DFB@example.com,6475869000.0,433FBDA7-F Street,1987-01-21,Homme,Marié(e),Française,"Français, Anglais",Licence,2011,Université Lyon,Supervision de la gestion de bases de données pour garantir leur disponibilité et leur accessibilité.,Certification en développement web et programmation Python.,Développement
WIQAO,FNKEW,1F69768C@example.com,6200567000.0,CB83DA81-F Street,1989-01-21,Autre,Célibataire,Anglaise,"Français, Espagnol",Licence,2007,Université Paris,J'ai pris des décisions de leadership qui ont eu un impact direct sur la croissance de l'entreprise.,Certification en gestion de projet Agile.,Gestion
YHAUZ,SWHNQ,812C1C55@example.com,697477000.0,5253904D-7 Street,1967-01-21,Homme,Marié(e),Anglaise,"Anglais, Allemand",BTS,2018,Université Lyon,J'ai assuré la cohérence du branding à travers tous les points de contact avec les clients.,Certification en marketing digital et stratégies de contenu.,Marketing
SOYDN,ZLKNJ,ED85008C@example.com,6894362000.0,75123290-E Street,1975-01-21,Femme,Célibataire,Française,"Français, Anglais",Master,2014,Université Lyon,Élaboration de plans d'action pour répondre aux besoins de développement durable dans les projets.,Certification en gestion de projet Agile.,Gestion
UGDAE,FQJIY,EEE79668@example.com,6946948000.0,6BC86566-4 Street,1971-01-21,Femme,Marié(e),Française,"Français, Espagnol",Licence,2005,Université Paris,Création de publicités dynamiques et personnalisées dans les campagnes Mailchimp pour maximiser l'impact.,Certification en marketing digital et stratégies de contenu.,Marketing
XCQNH,KWQJV,23CA1A18@example.com,6979882000.0,FC9EEB46-F Street,1976-01-21,Autre,Divorcé(e),Française,"Français, Espagnol",Master,2012,École Supérieure de Commerce,J'ai optimisé l'affichage des polices en utilisant des propriétés CSS spécifiques.,Certification en développement web et programmation Python.,Développement
SIYDA,POJSJ,B269DC37@example.com,6550610000.0,4C897F93-3 Street,2005-01-21,Femme,Célibataire,Espagnole,"Français, Anglais",Master,2004,Université Lyon,J'ai développé un gestionnaire de permissions en C#.,Certification en développement web et programmation Python.,Développement
ELFRH,QVOXB,8744BE08@example.com,6724436000.0,F6C1EDA5-B Street,1993-01-21,Homme,Célibataire,Française,"Français, Espagnol",Licence,2009,Université Paris,Intégration des interactions clients provenant des réseaux sociaux dans le CRM pour un suivi complet de la relation client.,Certification en marketing digital et stratégies de contenu.,Marketing
QGRPT,BAYNV,9C28C052@example.com,6132430000.0,E88E84DC-6 Street,1979-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",BTS,2018,Université Lyon,Supervision de la gestion des comptes d'épargne et des investissements bancaires.,Certification en gestion de projet Agile.,Gestion
CBKDF,WPROP,035EC93C@example.com,6378835000.0,BE37B3A7-0 Street,1995-01-21,Autre,Marié(e),Espagnole,"Anglais, Allemand",BTS,2004,Université Paris,Pilotage et suivi des indicateurs financiers grâce à un reporting financier structuré.,Certification en gestion de projet Agile.,Gestion
AFYXA,CXSRU,12AC4054@example.com,6903297000.0,84248DFA-D Street,1985-01-21,Femme,Célibataire,Anglaise,"Français, Anglais",Licence,2007,Université Lyon,Création de modèles d'analyse des comportements des consommateurs avec le langage R.,Certification en développement web et programmation Python.,Développement
VGYZP,LSQGY,D8FEFC67@example.com,627982700.0,05A5A935-4 Street,1988-01-21,Homme,Célibataire,Française,"Français, Anglais",Master,2005,Université Paris,J'ai supervisé la gestion des conflits au sein de l'équipe en appliquant des méthodes de management adaptées.,Certification en gestion de projet Agile.,Gestion
AZCYX,ZRTNS,19BEB916@example.com,6208978000.0,29A70FB8-E Street,2003-01-21,Femme,Célibataire,Espagnole,"Français, Espagnol",Licence,2008,Université Paris,Gestion de la persistance des données avec Spring Boot et Hibernate dans une architecture cloud.,Certification en développement web et programmation Python.,Développement
AQVMQ,YWNKX,58016932@example.com,6789215000.0,34D8B069-5 Street,1976-01-21,Homme,Marié(e),Anglaise,"Français, Espagnol",Licence,2000,Université Lyon,J'ai utilisé le branding pour renforcer la fidélité des clients et améliorer la rétention.,Certification en marketing digital et stratégies de contenu.,Marketing
JQWOP,MFNIJ,0837B8A7@example.com,6970047000.0,1A8F36BE-8 Street,2002-01-21,Homme,Divorcé(e),Anglaise,"Français, Anglais",BTS,2006,Université Paris,Gestion logiciel agile des projets en respectant une méthodologie itérative pour chaque fonctionnalité.,Certification en développement web et programmation Python.,Développement
KRSUR,RHAEG,0080A6EF@example.com,6193191000.0,1A461DF5-5 Street,1972-01-21,Autre,Marié(e),Anglaise,"Français, Anglais",Licence,2016,Université Lyon,Résolution de problèmes liés aux performances des serveurs en exécutant un débogage systématique.,Certification en développement web et programmation Python.,Développement
CZHTJ,FWRZW,18ADF1CF@example.com,6637240000.0,DAAB8EF1-5 Street,1969-01-21,Femme,Célibataire,Française,"Français, Espagnol",Licence,2000,École Supérieure de Commerce,J'ai analysé la rentabilité des projets dans le cadre d'une gestion financière proactive.,Certification en gestion de projet Agile.,Gestion
QYBBW,JMUPI,5EFE8FAD@example.com,6918094000.0,3CC4AFB9-E Street,1968-01-21,Autre,Marié(e),Française,"Anglais, Allemand",BTS,2010,Université Lyon,Optimisation des stratégies de marketing par e-mail en utilisant HubSpot pour atteindre des objectifs de conversion.,Certification en marketing digital et stratégies de contenu.,Marketing
JTFQP,XKWRS,54F7491A@example.com,6866885000.0,FC2E4A5F-8 Street,1999-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",Licence,2012,Université Lyon,Amélioration de la stratégie de marketing automation en fonction des comportements identifiés dans le Customer Journey.,Certification en marketing digital et stratégies de contenu.,Marketing
AEZDP,NLLTI,1C35E977@example.com,6829658000.0,B12119A2-3 Street,1978-01-21,Femme,Célibataire,Anglaise,"Français, Espagnol",Licence,2019,Université Lyon,Suivi des performances des moniteurs et mise en place d'actions correctives.,Certification en développement web et programmation Python.,Développement
ARIXB,BBNEU,B33D2B01@example.com,6951878000.0,8B53B8B7-7 Street,1967-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",BTS,2019,Université Lyon,Développement de solutions de gestion de données en temps réel avec Spring Boot et Apache Kafka.,Certification en développement web et programmation Python.,Développement
OHPQH,CKWIF,6ED69BBB@example.com,6537765000.0,83756DE8-4 Street,1988-01-21,Autre,Marié(e),Française,"Français, Espagnol",Licence,2017,Université Lyon,Suivi et analyse des retours clients pour ajuster les offres promotionnelles.,Certification en marketing digital et stratégies de contenu.,Marketing
VARQE,FPZBR,9981ABB3@example.com,6938719000.0,6C7D2EFA-B Street,1987-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",BTS,2006,Université Paris,J'ai effectué des recherches de marché pour évaluer l'efficacité des stratégies de branding.,Certification en marketing digital et stratégies de contenu.,Marketing
UAPIW,ZOUPO,3FE87D74@example.com,6137016000.0,821CFC3D-4 Street,1986-01-21,Homme,Marié(e),Anglaise,"Français, Anglais",BTS,2007,École Supérieure de Commerce,J'ai dirigé une équipe de 10 personnes dans le cadre du management de projets complexes.,Certification en gestion de projet Agile.,Gestion
OKRNW,DXXFD,F113B97A@example.com,6577560000.0,C524A6D0-E Street,1993-01-21,Autre,Marié(e),Anglaise,"Français, Espagnol",Licence,2010,Université Lyon,J'ai facilité la conduite du changement pour renforcer la collaboration inter-départementale et optimiser les ressources.,Certification en gestion de projet Agile.,Gestion
TICAJ,WIYCD,2CCB246A@example.com,6230968000.0,6B106C90-A Street,1998-01-21,Homme,Célibataire,Espagnole,"Français, Espagnol",Master,2006,Université Paris,Responsabilité de la gestion du changement pour une adoption réussie des nouveaux outils collaboratifs.,Certification en gestion de projet Agile.,Gestion
RIERW,HCTFL,F5C068CF@example.com,648885100.0,DA89247A-D Street,1966-01-21,Autre,Marié(e),Anglaise,"Français, Espagnol",Master,2001,Université Paris,Création de visualisations interactives Power BI permettant de suivre la performance d'un projet en temps réel.,Certification en développement web et programmation Python.,Développement
IEEZG,AZPAX,96280B36@example.com,674674900.0,20A63B85-3 Street,2003-01-21,Autre,Marié(e),Espagnole,"Français, Espagnol",BTS,2005,Université Paris,J'ai supervisé la conduite du changement dans le cadre de la mise en place d'une nouvelle structure hiérarchique.,Certification en gestion de projet Agile.,Gestion
DHGGH,LHJFG,7F5E740B@example.com,6269321000.0,100F4FB0-D Street,1998-01-21,Femme,Célibataire,Française,"Français, Espagnol",Licence,2013,Université Paris,J'ai supervisé l'administration des outils de gestion des documents pour améliorer l'organisation interne.,Certification en gestion de projet Agile.,Gestion
LGGNA,DVCKJ,2F58448F@example.com,6811454000.0,0528BE3E-4 Street,2000-01-21,Homme,Marié(e),Française,"Français, Anglais",Master,2005,Université Lyon,Gestion des relations avec les parties prenantes pour assurer une communication fluide.,Certification en gestion de projet Agile.,Gestion
LOYQC,TNTWK,8B9165AA@example.com,6516331000.0,3C9BA5D3-1 Street,1967-01-21,Homme,Marié(e),Anglaise,"Français, Espagnol",Licence,2016,Université Lyon,Gestion des services de calcul avec AWS EC2 et Lambda.,Certification en développement web et programmation Python.,Développement
OOZQF,STLMW,866F7E98@example.com,6739211000.0,0E087C77-4 Street,1973-01-21,Autre,Célibataire,Anglaise,"Français, Anglais",Master,2008,Université Lyon,Mise en place de solutions technologiques pour améliorer la gestion des processus d'affaires.,Certification en gestion de projet Agile.,Gestion
SVAWW,DMJSP,D9A474F3@example.com,6956771000.0,5E6542B7-0 Street,1994-01-21,Femme,Célibataire,Française,"Français, Espagnol",Licence,2020,Université Lyon,"En tant que Technical Lead, j'ai pris en charge la résolution des obstacles techniques rencontrés par l'équipe.",Certification en gestion de projet Agile.,Gestion
OGTVV,NXAUF,5E7F0EC3@example.com,6717897000.0,9C1D1302-D Street,2001-01-21,Femme,Marié(e),Anglaise,"Anglais, Allemand",BTS,2017,Université Lyon,"En tant que responsable marketing, j'ai dirigé des campagnes pour accroître l'impact des vidéos YouTube.",Certification en marketing digital et stratégies de contenu.,Marketing
QLMCV,BLQQU,EEFB23B6@example.com,619268800.0,EC4292D3-4 Street,1983-01-21,Homme,Célibataire,Française,"Français, Anglais",BTS,2013,École Supérieure de Commerce,Amélioration de l'efficacité de la compilation en ajoutant des configurations adaptées au projet.,Certification en développement web et programmation Python.,Développement
TDXHW,VRAEP,2F95A148@example.com,6325277000.0,6DD05992-9 Street,1982-01-21,Autre,Marié(e),Anglaise,"Anglais, Allemand",BTS,2014,Université Paris,Développement d'applications de gestion des employés pour les entreprises.,Certification en développement web et programmation Python.,Développement
FJPUH,CCNMF,C0AC63A8@example.com,6788996000.0,FADDC90F-6 Street,2005-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",BTS,2012,Université Lyon,Création de vidéos pour des événements en direct dans le cadre de stratégies de marketing vidéo.,Certification en marketing digital et stratégies de contenu.,Marketing
GPCYU,IMYBH,0EB3FBA2@example.com,6702426000.0,A6227A06-0 Street,1999-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",Licence,2013,Université Paris,Intégration des publicités en ligne dans une stratégie omnicanal pour maximiser les conversions.,Certification en marketing digital et stratégies de contenu.,Marketing
FYCEF,UFCYX,56089D11@example.com,6554422000.0,069767A0-6 Street,2002-01-21,Homme,Célibataire,Anglaise,"Français, Anglais",Master,2012,Université Lyon,Création d'applications multithreadées synchronisées avec des sémaphores pour une gestion fluide des tâches.,Certification en développement web et programmation Python.,Développement
KCVBR,XPXHO,B14ACD14@example.com,6265868000.0,18E8BD96-6 Street,1986-01-21,Femme,Célibataire,Française,"Français, Anglais",Master,2009,Université Lyon,Mise en œuvre de stratégies de fidélisation client grâce à des webinaires exclusifs.,Certification en marketing digital et stratégies de contenu.,Marketing
ZBVZE,VOBET,205B6C32@example.com,6713382000.0,EF9B195E-0 Street,1997-01-21,Autre,Divorcé(e),Française,"Français, Espagnol",Licence,2003,École Supérieure de Commerce,J'ai orchestré la conduite du changement dans le cadre d'une refonte de l'architecture organisationnelle.,Certification en gestion de projet Agile.,Gestion
GWWNV,XZEGY,97C1D186@example.com,6748397000.0,165F91FD-6 Street,2004-01-21,Homme,Divorcé(e),Française,"Anglais, Allemand",Master,2018,École Supérieure de Commerce,J'ai analysé l'impact des stratégies de branding sur les conversions et les ventes.,Certification en marketing digital et stratégies de contenu.,Marketing
NPMBD,CBFNL,74ECE1D7@example.com,6797218000.0,00BA4687-F Street,1987-01-21,Homme,Marié(e),Française,"Français, Espagnol",Master,2013,École Supérieure de Commerce,Développement d'applications d'édition de documents en ligne en PHP.,Certification en développement web et programmation Python.,Développement
DNJXD,INGYT,45E7FA46@example.com,6922852000.0,38FFFF7D-C Street,2003-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",Master,2015,Université Paris,Écriture et gestion des cas de test automatisés avec Selenium et Allure Report.,Certification en développement web et programmation Python.,Développement
VIWES,PYWXC,A5430EDB@example.com,6483900000.0,C10A4FA0-C Street,1973-01-21,Femme,Célibataire,Espagnole,"Français, Espagnol",Licence,2005,Université Paris,Analyse des besoins financiers des clients pour proposer des solutions bancaires.,Certification en gestion de projet Agile.,Gestion
ZUHFX,RYDYT,89A54DEF@example.com,685630800.0,4F867E6C-1 Street,1979-01-21,Autre,Célibataire,Française,"Anglais, Allemand",Licence,2019,Université Lyon,Optimisation des campagnes publicitaires en utilisant des données comportementales.,Certification en marketing digital et stratégies de contenu.,Marketing
FYVYP,JUWVX,1B2FBDD6@example.com,6766964000.0,21DB4419-9 Street,2000-01-21,Femme,Marié(e),Espagnole,"Français, Espagnol",BTS,2020,Université Lyon,J'ai appliqué des stratégies de refactoring pour rendre le code plus flexible et adaptable aux nouvelles exigences.,Certification en développement web et programmation Python.,Développement
UWTCP,VTGNW,6B2195F1@example.com,6913926000.0,3C9866CE-0 Street,1996-01-21,Autre,Célibataire,Française,"Anglais, Allemand",Licence,2012,École Supérieure de Commerce,Amélioration de la communication client à travers l'analyse des étapes clés du Customer Journey.,Certification en marketing digital et stratégies de contenu.,Marketing
IBBFL,OODKT,6D0006E0@example.com,6551794000.0,B0DDFE25-D Street,2005-01-21,Femme,Marié(e),Espagnole,"Anglais, Allemand",Master,2013,Université Lyon,Développement de logiciels de gestion de données en temps réel avec des threads pour traiter les événements entrants.,Certification en développement web et programmation Python.,Développement
ZBVZR,HZMAI,D3CF4559@example.com,6772767000.0,73646CAE-D Street,1988-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",BTS,2009,Université Paris,J'ai intégré un chatbot d'assistance à l'utilisateur avec Django et Rasa.,Certification en développement web et programmation Python.,Développement
FUWWI,OEMIX,141A8BE0@example.com,6803019000.0,58E75489-5 Street,1973-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",BTS,2017,Université Lyon,Gestion de la synchronisation de processus en utilisant des sémaphores pour améliorer les performances globales du système.,Certification en développement web et programmation Python.,Développement
CGQLL,GZPGD,01D41471@example.com,6139937000.0,2DBA560A-9 Street,1978-01-21,Femme,Célibataire,Française,"Français, Anglais",BTS,2012,Université Lyon,Utilisation de Power BI pour analyser les données économiques et prévoir les tendances futures.,Certification en développement web et programmation Python.,Développement
OOTCP,HWPGM,E5EBF933@example.com,6519933000.0,F9685543-F Street,1971-01-21,Autre,Marié(e),Espagnole,"Anglais, Allemand",BTS,2016,École Supérieure de Commerce,Mise en place de processus de monitoring et de reporting des bases NoSQL.,Certification en développement web et programmation Python.,Développement
